T	E	S	ES	P
0.0	1.0	1.0	0.0	0.0
0.03	0.972142028673	0.971285391101	0.0278579713269	0.000856637571745
0.06	0.948169676308	0.944904366865	0.0518303236924	0.00326530944259
0.09	0.927552970415	0.920543759239	0.0724470295849	0.00700921117649
0.12	0.909839940307	0.897939014463	0.0901600596929	0.0119009258437
0.15	0.894643811638	0.876865688616	0.105356188362	0.0177781230226
0.18	0.881632726046	0.857132725808	0.118367273954	0.0245000002378
0.21	0.870521149427	0.838576915356	0.129478850573	0.0319442340711
0.24	0.861062826892	0.821058408883	0.138937173108	0.0400044180089
0.27	0.85304497892	0.804457078094	0.14695502108	0.0485879008259
0.3	0.846283352485	0.788669440948	0.153716647515	0.0576139115363
0.33	0.840618149124	0.773606165499	0.159381850876	0.0670119836254
0.36	0.835910563142	0.759189970151	0.164089436858	0.0767205929913
0.39	0.832039850587	0.745353863173	0.167960149413	0.0866859874135
0.42	0.828900856565	0.732039673179	0.171099143435	0.0968611833858
0.45	0.826401881005	0.719196790126	0.173598118995	0.107205090879
0.48	0.82446287725	0.706781113209	0.17553712275	0.117681764041
0.51	0.823013901998	0.694754152121	0.176986098002	0.128259749877
0.54	0.821993783429	0.68308226061	0.178006216571	0.138911522819
0.57	0.821348974886	0.671735981531	0.178651025114	0.149612993356
0.6	0.821032567142	0.660689486021	0.178967432858	0.160343081121
0.63	0.821003434388	0.649920091754	0.178996565612	0.171083342634
0.66	0.821225495789	0.639407848733	0.178774504211	0.181817647055
0.69	0.821667082022	0.629135186381	0.178332917978	0.192531895641
0.72	0.822300361676	0.619086594146	0.177699638324	0.20321376753
0.75	0.823100877321	0.609248366505	0.176899122679	0.213852510816
0.78	0.824047116083	0.599608366177	0.175952883917	0.224438749906
0.81	0.825120150484	0.590155828279	0.174879849516	0.234964322204
0.84	0.826303313841	0.580881183149	0.173696686159	0.245422130692
0.87	0.827581922777	0.571775905944	0.172418077223	0.255806016833
0.9	0.828943037899	0.562832387257	0.171056962101	0.266110650643
0.93	0.830375248829	0.554043817526	0.169624751171	0.276331431304
0.96	0.83186848878	0.545404087621	0.16813151122	0.28646440116
0.99	0.833413873282	0.536907702724	0.166586126718	0.296506170558
