T	S	P
0.000000000	1.005101629	0.000000000
0.030000000	0.974640472	0.000838676
0.060000000	0.936087148	0.003143198
0.090000000	0.922009413	0.007367953
0.120000000	0.903423955	0.011435144
0.150000000	0.874446276	0.018425618
0.180000000	0.857045272	0.023531255
0.210000000	0.836566074	0.033887094
0.240000000	0.828990471	0.036807222
0.270000000	0.791212461	0.046327997
0.300000000	0.783441257	0.059465442
0.330000000	0.781414966	0.070839312
0.360000000	0.768049312	0.077276267
0.390000000	0.756812943	0.093394654
0.420000000	0.724628902	0.097352444
0.450000000	0.712674173	0.108950440
0.480000000	0.698862326	0.113773830
0.510000000	0.691934180	0.128446184
0.540000000	0.687478804	0.147259022
0.570000000	0.679990276	0.147292352
0.600000000	0.658767228	0.159314782
0.630000000	0.643213697	0.159258490
0.660000000	0.640300254	0.175278943
0.690000000	0.618351452	0.189787836
0.720000000	0.616559720	0.198194518
0.750000000	0.607409121	0.210194627
0.780000000	0.594715819	0.222234724
0.810000000	0.589348921	0.241643631
0.840000000	0.582696787	0.255303292
0.870000000	0.570978266	0.270937740
0.900000000	0.553690840	0.272261294
0.930000000	0.557692273	0.256621224
0.960000000	0.551928136	0.296333423
0.990000000	0.544729441	0.306982041
